transaction_id,card_id,merchant_name,timestamp,amount,location,transaction_type,related_transaction_id,status,pending_balance
1,31,"Parker, Wang and Herrera",2025-04-01 01:17:38,-12.6,"5421 Eric Common, Syracuse, NY 16105",refund,,pending,65.34
2,3,Atkinson-Evans,2025-04-01 01:18:05,-101.07,"3329 Pineda Pine, Ithaca, NY 15721",refund,,pending,-91.83
3,37,Blackwell-Webster,2025-04-01 01:23:16,293.99,"4091 Bell Hollow, Lake Cody, TX 79100",wire_transfer,,declined,819.5
4,30,Olson LLC,2025-04-01 01:37:13,-233.36,"9820 John Villages, Ithaca, NY 19717",refund,,pending,149.09
5,54,Lucas-Herman,2025-04-01 02:00:04,462.66,"1468 Jacqueline Bridge, Syracuse, NY 12885",p2p_transfer,,pending,1077.72
6,13,"Roy, Smith and Pugh",2025-04-01 02:05:32,223.18,"6317 Robin Stream, Yonkers, NY 15608",bill_payment,,pending,279.94
7,13,Rubio-Blanchard,2025-04-01 02:12:08,103.2,"5941 Kelly Field, Bronx, NY 16464",atm_withdrawal,,pending,383.14
8,4,Meyer-Ellis,2025-04-01 02:15:37,109.03,"69 Marshall Haven, Brooklyn, NY 17247",wire_transfer,,pending,913.74
9,55,Hunt PLC,2025-04-01 02:36:37,3963.75,"8517 Lindsey Flats, Niagara Falls, NY 18502",p2p_transfer,,pending,7688.97
10,12,Perry and Sons,2025-04-01 02:55:16,105.47,"9423 Romero Points, Syracuse, NY 18404",bill_payment,,pending,190.66
11,24,Moore-Burns,2025-04-01 02:59:40,-307.52,"5440 Matthew Skyway, Brooklyn, NY 11659",refund,,pending,196.51
12,18,"Sherman, Roberts and Smith",2025-04-01 03:06:19,403.63,"5606 Eric Field, Yonkers, NY 18693",bill_payment,,pending,3672.02
13,14,Jones-Green,2025-04-01 03:09:09,217.45,"5780 Steven Isle, Staten Island, NY 16303",wire_transfer,,pending,1881.06
14,2,"Brown, Wright and Higgins",2025-04-01 03:15:44,160.81,"8892 John Coves, Brooklyn, NY 15707",purchase,,pending,242.78
15,33,Knight-Morgan,2025-04-01 03:19:17,218.9,"2845 Angela Lodge, Brooklyn, NY 13024",p2p_transfer,,pending,2683.62
16,21,Tucker-Shepard,2025-04-01 03:28:50,88.08,"1331 Hoffman Oval, Cheektowaga, NY 17789",atm_withdrawal,,pending,312.16
17,16,Warner-Morrow,2025-04-01 03:33:06,91.01,"9307 Christian Run, Katrinaton, CT 07056",atm_withdrawal,,declined,1987.41
18,59,Short-Cuevas,2025-04-01 03:35:00,38.22,"7252 Nancy Shoal, Cheektowaga, NY 19018",atm_withdrawal,,pending,1578.99
19,3,"Pitts, Hamilton and Garza",2025-04-01 03:44:12,-488.76,"7566 Haney Wall, Albany, NY 14060",refund,,pending,-580.59
20,14,Kim-Hutchinson,2025-04-01 03:48:40,68.02,"8710 Thomas Ramp, Rochester, NY 19704",atm_withdrawal,,pending,1949.08
21,22,Sanders-Johnson,2025-04-01 04:12:09,43.9,"4742 Christopher Avenue, New York, NY 19770",purchase,,pending,100.53
22,3,"Cooper, Acevedo and Jackson",2025-04-01 04:17:45,251.84,"3278 Melissa Pines, Syracuse, NY 18269",purchase,,pending,-328.75
23,17,Patterson-Thompson,2025-04-01 04:22:44,112.69,"8849 Dakota Lakes, Rochester, NY 10692",purchase,,pending,1197.3
24,38,Rodriguez-Lopez,2025-04-01 04:23:32,106.94,"8479 Sydney Lake, Ithaca, NY 17448",atm_withdrawal,,pending,238.93
25,39,Goodman-Wilkinson,2025-04-01 04:24:07,274.46,"7608 Carolyn Vista, Utica, NY 18585",purchase,,pending,2250.23
26,9,"Santiago, Williams and Gill",2025-04-01 05:04:01,68.19,"8129 Santana Springs, Schenectady, NY 15555",wire_transfer,,pending,557.17
27,44,Walker LLC,2025-04-01 05:07:42,412.14,"1624 Coleman Branch, Yonkers, NY 16697",p2p_transfer,,pending,566.16
28,4,Gutierrez LLC,2025-04-01 05:13:38,219.88,"3447 Sara Hills, Cheektowaga, NY 18190",p2p_transfer,,pending,1133.62
29,55,Blair-Peterson,2025-04-01 05:14:51,96.58,"5746 Payne Forest, Binghamton, NY 13094",wire_transfer,,pending,7785.55
30,54,"Baker, Cochran and Carson",2025-04-01 05:17:57,203.89,"866 Hudson Dale, Millerport, VT 01240",p2p_transfer,,declined,1077.72
31,21,Freeman and Sons,2025-04-01 05:23:36,-443.42,"7834 Nguyen Manor, New York, NY 15667",refund,,pending,-131.26
32,53,Young-Murray,2025-04-01 05:50:11,-227.11,"9003 Coleman Ridges, Ithaca, NY 18965",refund,,pending,-75.98
33,55,Hernandez Ltd,2025-04-01 06:10:12,-401.25,"7471 Sandra Ramp, Ithaca, NY 11583",refund,,pending,7384.3
